"AT3_R5_POST_SOIL","AT3_R5_PRE_SOIL","AT3_R6_POST_SOIL","AT3_R6_PRE_SOIL","AT3_R7_POST_SOIL","AT3_R7_PRE_SOIL","AT3_R8_POST_SOIL","AT3_R8_PRE_SOIL","AT4_R5_POST_SOIL","AT4_R5_PRE_SOIL","AT4_R6_POST_SOIL","AT4_R6_PRE_SOIL","AT4_R7_POST_SOIL","AT4_R7_PRE_SOIL","AT4_R8_POST_SOIL","AT4_R8_PRE_SOIL","BEO1_R5_POST_SOIL","BEO1_R5_PRE_SOIL","BEO1_R6_POST_SOIL","BEO1_R6_PRE_SOIL","BEO1_R7_POST_SOIL","BEO1_R7_PRE_SOIL","BEO1_R8_POST_SOIL","BEO1_R8_PRE_SOIL","BEO2B_R5_POST_SOIL","BEO2B_R5_PRE_SOIL","BEO2B_R6_POST_SOIL","BEO2B_R6_PRE_SOIL","BEO2B_R7_POST_SOIL","BEO2B_R7_PRE_SOIL","BEO2B_R8_POST_SOIL","BEO2B_R8_PRE_SOIL","DNA_BLANK_1_POST_THAW_SOIL","DNA_BLANK_1_PRE_THAW_SOIL","DNA_BLANK_2_POST_THAW_SOIL","DNA_BLANK_2_PRE_THAW_SOIL","FL1C4_R5_POST_SOIL","FL1C4_R5_PRE_SOIL","FL1C4_R6_POST_SOIL","FL1C4_R6_PRE_SOIL","FL1C4_R7_POST_SOIL","FL1C4_R7_PRE_SOIL","FL1C4_R8_POST_SOIL","FL2C3_R5_POST_SOIL","FL2C3_R5_PRE_SOIL","FL2C3_R6_POST_SOIL","FL2C3_R6_PRE_SOIL","FL2C3_R7_POST_SOIL","FL2C3_R7_PRE_SOIL","FL2C3_R8_POST_SOIL","FL2C3_R8_PRE_SOIL","PCR_BLANK"
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,13,0,0,9,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,0,0,0,9,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,12,6,18,0,17,135,0,391,4,9,36,12,0,135,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
